Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrollment,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Fall Session,Class Location Description,City
1258,Fall 2025,Fall 2025,SOCS,Col of Health & Public Service,Rehab and Health Serv,AARS,6840,AARS 6840,AARS 6840,1,Graduate,ORG AGING & HEALTH,12,4,CRE,AUDB 201,W, 2:00:00.000000PM, 5:00:00.000000PM,N,N,Y,N,N,N,N,8/18/2025,12/12/2025,"Moore,Ami R",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,1,Undergraduate,ACCOUNT PRIN I,79,33,CRE,BLB  070,MWF, 9:00:00.000000AM, 9:50:00.000000AM,Y,N,Y,N,Y,N,N,8/18/2025,12/12/2025,"Grieser,Anne Marie",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,2,Undergraduate,ACCOUNT PRIN I,79,24,CRE,BLB  005,TR, 9:30:00.000000AM,10:50:00.000000AM,N,Y,N,Y,N,N,N,8/18/2025,12/12/2025,"McLeod,Allison Mayling",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,3,Undergraduate,ACCOUNT PRIN I,102,21,CRE,BLB  055,MWF,12:00:00.000000PM,12:50:00.000000PM,Y,N,Y,N,Y,N,N,8/18/2025,12/12/2025,"Gomes Ferreira,Adriano",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,4,Undergraduate,ACCOUNT PRIN I,102,55,CRE,BLB  055,MWF,11:00:00.000000AM,11:50:00.000000AM,Y,N,Y,N,Y,N,N,8/18/2025,12/12/2025,"Grieser,Anne Marie",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,5,Undergraduate,ACCOUNT PRIN I,47,38,CRE,BLB  255,TR,11:00:00.000000AM,12:20:00.000000PM,N,Y,N,Y,N,N,N,8/18/2025,12/12/2025,"McLeod,Allison Mayling",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,6,Undergraduate,ACCOUNT PRIN I,47,3,CRE,BLB  250,MWF,10:00:00.000000AM,10:50:00.000000AM,Y,N,Y,N,Y,N,N,8/18/2025,12/12/2025,"Grieser,Anne Marie",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,7,Undergraduate,ACCOUNT PRIN I,47,31,CRE,BLB  140,TR, 9:30:00.000000AM,10:50:00.000000AM,N,Y,N,Y,N,N,N,8/18/2025,12/12/2025,"Bailey,Kyndell Brianna",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,8,Undergraduate,ACCOUNT PRIN I,79,13,CRE,BLB  090,TR, 2:00:00.000000PM, 3:20:00.000000PM,N,Y,N,Y,N,N,N,8/18/2025,12/12/2025,"McLeod,Allison Mayling",Regular Session,UNT Main Campus,Denton
1258,Fall 2025,Fall 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,9,Undergraduate,ACCOUNT PRIN I,47,5,CRE,BLB  245,M, 6:30:00.000000PM, 9:20:00.000000PM,Y,N,N,N,N,N,N,8/18/2025,12/12/2025,"McLeod,Allison Mayling",Regular Session,UNT Main Campus,Denton
