Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrollment,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Spring Session,Class Location Description,City
1251,Spring 2025,Spring 2025,SOCS,Col of Health & Public Service,Rehab and Health Serv,AARS,6820,AARS 6820,AARS 6820,1,Graduate,COMM LVNG & PARTIC,15,6,CRE,AUDB 202,W,10:00:00.000000AM,12:50:00.000000PM,N,N,Y,N,N,N,N,1/13/2025,5/9/2025,"Mpofu,Elias",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,1,Undergraduate,ACCOUNT PRIN I,103,103,CRE,BLB  170,MWF, 9:00:00.000000AM, 9:50:00.000000AM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Grieser,Anne Marie",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,2,Undergraduate,ACCOUNT PRIN I,103,103,CRE,BLB  170,MWF,10:00:00.000000AM,10:50:00.000000AM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Grieser,Anne Marie",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,3,Undergraduate,ACCOUNT PRIN I,79,78,CRE,BLB  005,MWF,12:00:00.000000PM,12:50:00.000000PM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Bailey,Kyndell Brianna",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,4,Undergraduate,ACCOUNT PRIN I,47,47,CRE,BLB  250,TR, 9:30:00.000000AM,10:50:00.000000AM,N,Y,N,Y,N,N,N,1/13/2025,5/9/2025,"McLeod,Allison Mayling",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,5,Undergraduate,ACCOUNT PRIN I,104,102,CRE,BLB  180,TR,12:30:00.000000PM, 1:50:00.000000PM,N,Y,N,Y,N,N,N,1/13/2025,5/9/2025,"Neel,Michael J",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,6,Undergraduate,ACCOUNT PRIN I,47,47,CRE,BLB  255,TR, 2:00:00.000000PM, 3:20:00.000000PM,N,Y,N,Y,N,N,N,1/13/2025,5/9/2025,"Islam,Md Nazmul",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,7,Undergraduate,ACCOUNT PRIN I,48,48,CRE,BLB  255,MWF, 9:00:00.000000AM, 9:50:00.000000AM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Bailey,Kyndell Brianna",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,8,Undergraduate,ACCOUNT PRIN I,39,19,CRE,BLB  035,MWF,11:00:00.000000AM,11:50:00.000000AM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Grieser,Anne Marie",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,10,Undergraduate,ACCOUNT PRIN I,102,102,CRE,BLB  055,MWF,11:00:00.000000AM,11:50:00.000000AM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Bailey,Kyndell Brianna",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,11,Undergraduate,ACCOUNT PRIN I,102,100,CRE,BLB  155,TR,11:00:00.000000AM,12:20:00.000000PM,N,Y,N,Y,N,N,N,1/13/2025,5/9/2025,"McLeod,Allison Mayling",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,12,Undergraduate,ACCOUNT PRIN I,47,47,CRE,BLB  255,T, 6:30:00.000000PM, 9:20:00.000000PM,N,Y,N,N,N,N,N,1/13/2025,5/9/2025,"Neel,Michael J",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,501,Undergraduate,ACCOUNT PRIN I,60,58,CRE,FRLD 260,T, 6:30:00.000000PM, 9:20:00.000000PM,N,Y,N,N,N,N,N,1/13/2025,5/9/2025,"Mitchell Jr.,Christopher",Regular Session,UNTFrisco Landing,Frisco
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,502,Undergraduate,ACCOUNT PRIN I,40,26,CRE,FRLD 300,T, 6:30:00.000000PM, 9:20:00.000000PM,N,Y,N,N,N,N,N,1/13/2025,5/9/2025,"Kleiner,Kevin Allen",Regular Session,UNTFrisco Landing,Frisco
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2010,ACCT 2010,ACCT 2010,700,Undergraduate,ACCOUNT PRIN I,400,69,CRE,Internet,,,,N,N,N,N,N,N,N,1/13/2025,3/7/2025,"Grieser,Anne Marie",8W1,Internet Course - Texas,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,1,Undergraduate,ACCOUNT PRIN II,102,101,CRE,BLB  055,MWF,10:00:00.000000AM,10:50:00.000000AM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Wang,Hillary Grace",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,2,Undergraduate,ACCOUNT PRIN II,102,102,CRE,BLB  055,MWF,12:00:00.000000PM,12:50:00.000000PM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Wang,Hillary Grace",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,3,Undergraduate,ACCOUNT PRIN II,79,79,CRE,BLB  005,MWF, 1:00:00.000000PM, 1:50:00.000000PM,Y,N,Y,N,Y,N,N,1/13/2025,5/9/2025,"Bailey,Kyndell Brianna",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,4,Undergraduate,ACCOUNT PRIN II,59,59,CRE,MATT 312,TR,11:00:00.000000AM,12:20:00.000000PM,N,Y,N,Y,N,N,N,1/13/2025,5/9/2025,"Kleiner,Kevin Allen",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,5,Undergraduate,ACCOUNT PRIN II,47,46,CRE,BLB  260,TR,12:30:00.000000PM, 1:50:00.000000PM,N,Y,N,Y,N,N,N,1/13/2025,5/9/2025,"Kleiner,Kevin Allen",Regular Session,UNT Main Campus,Denton
1251,Spring 2025,Spring 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,7,Undergraduate,ACCOUNT PRIN II,84,81,CRE,BLB  070,R, 6:30:00.000000PM, 9:20:00.000000PM,N,N,N,Y,N,N,N,1/13/2025,5/9/2025,"Stovall,Olin Scott",Regular Session,UNT Main Campus,Denton
