Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrolled,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Summer Session,Class Location Description,City
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5110,ACCT 5110,ACCT 5110,401,Graduate,ACCOUNTING RESEARCH,40,29,CRE,Internet,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Sun,Lili",5W2,Internet Course - Texas,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5110,ACCT 5110,ACCT 5110,402,Graduate,ACCOUNTING RESEARCH,40,40,CRE,Internet,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Sun,Lili",5W2,Internet Course - Texas,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5130,ACCT 5130,ACCT 5130,401,Graduate,ACCT FOR MGMT,45,45,CRE,Internet,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Wilner,Neil Alan",5W1,Internet Course - Texas,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5130,ACCT 5130,ACCT 5130,403,Graduate,ACCT FOR MGMT,45,1,CRE,Internet,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Stovall,Olin Scott",5W2,Accelerated Online Program,
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5130,ACCT 5130,ACCT 5130,404,Graduate,ACCT FOR MGMT,45,33,CRE,Internet,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Jimenez,Peggy Denise",5W2,Internet Course - Texas,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5330,ACCT 5330,ACCT 5330,402,Graduate,TAX CORP&SHARHOLD,80,61,CRE,Internet,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Iyer,Govind S",5W2,Internet Course - Texas,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5800,ACCT 5800,ACCT 5800,754,Graduate,INTERNSHIP,15,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Ellis,Christine Michelle",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5800,ACCT 5800,ACCT 5800,755,Graduate,INTERNSHIP,15,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,7/25/2025,"Ellis,Christine Michelle",10W,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5800,ACCT 5800,ACCT 5800,756,Graduate,INTERNSHIP,5,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Ellis,Christine Michelle",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,700,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Wilner,Neil Alan",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,701,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,709,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,712,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Curtis,Mary B",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,716,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,722,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Hutchison,Paul D",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,724,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,750,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Wilner,Neil Alan",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,751,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,759,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,,5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,762,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Curtis,Mary B",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,766,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,772,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Hutchison,Paul D",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,774,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
